ESC signal (µs),Thrust (N),Torque (N·m),Motor Optical Speed (RPM)
1154.23,0.1504,0.000333,3414
1165.65,0.1823,0.000274,3942
1177.50,0.2184,0.000690,4506
1189.20,0.2610,0.001238,5044
1201.05,0.3123,0.001777,5628
1212.82,0.3677,0.002305,6166
1224.73,0.4299,0.002761,6714
1236.34,0.4922,0.003415,7235
1248.12,0.5662,0.004113,7747
1260.01,0.6404,0.004878,8263
1271.81,0.7060,0.005507,8754
1283.54,0.7854,0.006347,9264
1295.54,0.8697,0.007164,9759
1307.30,0.9494,0.007841,10239
1318.92,1.0359,0.008725,10702
1330.70,1.1233,0.009555,11158
1342.56,1.2066,0.010219,11594
1354.41,1.2992,0.011293,12038
1366.19,1.4010,0.012184,12506
1378.08,1.4958,0.013002,12926
1390.00,1.5883,0.013810,13343
1401.90,1.6804,0.014597,13740
1413.74,1.7885,0.015653,14142
1425.52,1.9055,0.016667,14550
1437.31,2.0095,0.017952,14950
1449.11,2.1031,0.019338,15325
1461.16,2.2160,0.020209,15728
1472.93,2.3371,0.021253,16108
1484.98,2.4550,0.022412,16485
1497.11,2.5752,0.023595,16870
1509.02,2.7052,0.025220,17291
1521.04,2.8368,0.026303,17669
1533.09,2.9852,0.028022,18095
1545.04,3.1150,0.029212,18478
1556.93,3.2755,0.030840,18888
1568.82,3.4298,0.032362,19308
1580.43,3.5860,0.034121,19709
1592.21,3.7518,0.035794,20137
1604.02,3.8937,0.037518,20523
1615.69,4.0688,0.039721,20925
1627.46,4.2386,0.041678,21329
1639.34,4.4045,0.043168,21767
1651.29,4.5941,0.045699,22202
1663.05,4.9088,0.049711,22934
1674.89,5.3053,0.053103,23580
1686.67,5.5657,0.056228,24034
1698.70,5.7854,0.058560,24454
1710.49,6.0306,0.061144,24917
1722.33,6.3420,0.064548,25432
1734.19,6.5822,0.066339,25874
1745.91,6.8282,0.069242,26348
1757.79,7.0996,0.071795,26770
1769.57,7.3752,0.074664,27142
1781.46,7.6465,0.078138,27546
1793.55,7.9044,0.080545,27930
1805.48,8.1388,0.082559,28257
1817.13,8.3659,0.086175,28591
1828.95,8.6256,0.088640,28907
1840.72,8.8603,0.091666,29180
1852.56,9.1425,0.094270,29457
